question,answer
Learn how to open Revenue Grid," How to open Revenue Grid        1. via the direct link Open the Revenue Grid access link provided by Support or Implementation teams, e.g.  https://mycompany.revenuegrid.com When opened for the first time, you will be prompted to connect. Follow the prompt with relevant option, and enter your SFDC credentials in the opened pop-up. 2. via Revenue Grid Email Sidebar     Open Email Sidebar, whether on your Outlook.com/Office 365, MS Outlook Desktop or Gmail email client   Open the Email Sidebar menu (hamburger icon ☰ ) and click  Open Revenue Grid    "
Learn how to make the most of your sales process with Revenue Grid widgets in Salesforce," Revenue Grid widgets in your SFDC environment       Package name: Revenue Grid managed package   Before being able to use Revenue Grid widgets  With Revenue Grid, you can add widgets to your SFDC environment for quick access to valuable information without actually leaving SFDC. As a prerequisite you have to install Revenue Inbox Managed Package. The process is described in the video.  Go to the full article    Bring all value of Revenue Grid into the familiar SFDC interface With Revenue Grid widgets added to your SFDC interface, you can oversee and have some control over prospects engagement progress and details. Once you add the widgets and set them up for all or selective users like Sales Managers, Sales Directors, Sales Reps or anyone else in your organization, they will be able to see the widgets and based on the information shown, make smarter decisions in order to convert leads into clients.For those of contacts and leads who have not been imported to Revenue Grid yet, you will see a call to action to import them right away.   Contacts and Leads widgets Prospect overviewWidgets name in VisualForce: RG Lead Overview, RG Contact Overview.   This Widget shows Revenue Grid person status and engagement statistics:   - how many calls have been made to the prospect   - how many emails have been sent   - how many of sent email the prospect actually opened   - how many unique links which you had added to the emails the prospect actually have clicked on   - how many replies you have received from the prospect Also here you can see the owner of the prospect, and other prospects in your Revenue Grid from the same company.    Sequences enrolledWidgets name in VisualForce: RG Lead Sequences, RG Contact Sequences   From the Sequences widget you can see what sequences a prospect currently is being engaged into, as well as add a prospect to another Sequence without going to Revenue Grid.  With currently engaged sequences, you can perform actions such as pause a sequence for the prospect, remove from a sequence or finish a sequence for the prospect with one of the available options (Success, Not Interested, Opt out). For currently engaged sequence, the widget also shows  Required Actions  (if any) which the sequence owner should take an action upon in the Action Center.   Prospect's activityWidgets name in VisualForce:  RG Lead Activity, RG Contact Activity   Activity widget shows a timestamped communication log in chronological order. Along with correspondence, it also reflects prospect's stage change within a sequence, as well as events as Owner Change, or Lead Conversion.   Send emailWidgets name in VisualForce: RG Send Email to Lead, RG Send Email to Contact   Want to drop a quick line to a contact or a lead? Do it right from SFDC interface, there is no need to jump between email client and CRM anymore. Add the Email widget from installed Revenue Inbox Managed Package. This widget pulls information directly from Revenue Grid. Meaning you can select RG Template, use  Merge Fields  the same way you can use them in RG interface. And most importantly,  To  and  CC  field will autocomplete  Supports  delegation .   Dial outWidgets name in VisualForce: RG Dial out to contact, RG Dial out to lead   Want to drop a quick call to a contact or a lead? Do it right from SFDC interface, there is no need to jump between email client and CRM anymore.  Set up your phone number here .    Accounts and Opportunities widgets  SignalsWidgets name in VisualForce: RG Opportunity Signals, RG Account Signals, RG Contact signals, RG Lead Signals, RG Signals,    Place Revenue Signals widget to SFDC interface for quicker access to intelligently guiding signals per opportunity, account, or related to an individual lead.  Read more about capabilities of Revenue Grid Signals     Account and opportunity communication activityWidgets name in VisualForce: RG Account Activity, RG Opportunity Activity On this widget, you can find all communication scattered on the time line. Data plots correspond to one of several types of activities(Meetings, Calls, Inbound emails, Outbound emails, Sequences emails.) Besides, important changes such as Close Date Change, Amount Change, First and Last Touches also get reflected on the chart for easier analytics.   Drill down to the point  By clicking on any given data plot, you can see the actual communication activities in the pop-up, from which you can read any given email or see details of a meeting.     Lead and contact communication activityWidgets name in VisualForce: RG Lead Activity, RG Contact Activity On this widget, you can find all communication scattered on the time line. Data plots correspond to one of several types of activities(Meetings, Calls, Inbound emails, Outbound emails, Sequences emails.) Besides, important changes such as First and Last Touches also get reflected on the chart for easier analytics.   Drill down to the point  By clicking on any given data plot, you can see the actual communication activities in the pop-up, from which you can read any given email or see details of a meeting.     Relationship Intelligence widget | People chartWidgets name in VisualForce: RG Account Connections, RG Opportunity Connections, RG Contact Connections, Lead Connections. This is interactive relationship sales chart. Here, you can see who of your colleagues has been in touch with representatives of the opportunity, and how much total time communication has accumulated in minutes.   Drill down to the point  By clicking on any given communication path, you can see the actual activities which made it to the accumulated time appeared in a pop-up, from which you can read any given email or see details of a meeting.     Account and opportunity engagement highlightsWidgets name in Visualforce: RG Account Engagement, RG Opportunity Engagement In the engagement highlights widget, you can grasp quickly what was the most recent meeting, inbound and outbound emails with representatives of an opportunity.      Also very important ""What's next"" section which may be scrapped from calendar if that is a meeting, or else filled up manually by accountable colleague.  Change history reflects all what changes has been made to an opportunity and how many times.    Account insights widgetWidget name in Visualforce: RG The Account   This widget placed on a canvas of an account gives you a direct access to Revenue Grid  accounts .     Opportunity insights widgetWidget name in Visualforce: RG The Opportunity   This widget placed on a canvas of an opportunity gives you a direct access to Revenue Grid   opportunity  details.      Advanced control Use these widgets as entire tabs.  All Accounts widgetWidget name in Visualforce: RG Accounts   This widgets displays all  accounts  assigned to you for better ABS(account based selling).     Pipeline visibility widgetWidget name in Visualforce: RG Pipeline   This is a direct access to  all opportunities  for sales pipeline inspection.    General Revenue Grid widgetWidget name in Visualforce: RevenueGrid   This widgets is the gateway to the main screen of Revenue Grid.     Revenue Signals widgetWidget name in Visualforce: RG Signals   This widgets displays all  Signals  company-wide.       Widgets related to Email and CRM integration component Widget to access the admin panelWidget name in Visualforce: RI Admin.   the Panel provides tools for managing a big number of end users.  Read more .     Widget to access user level sync settingsWidget name in Visualforce: UserUI.   Through this widget you can monitor synchronization statistics and connection statuses between CRM and email client. You can analyze this information and perform the necessary follow-up activities if any problems occur.  Read more .    Widgets to access selected blocks of user level sync settings  Widget name in Visualforce: Revenue Inbox User Additional Config. Detailed sync settings.  Read more .    Widget name in Visualforce: Revenue Inbox User Salesforce Config. A block to refresh your CRM credentials.  Read more .    Widget name in Visualforce: Revenue Inbox User Mailbox Config. A block to refresh your email client credentials.  Read more .     How to add Revenue Grid widgets to Salesforce Adding the sales engagement widgets to Salesforce interface:    1. Go to a tab you want to add widgets to (Leads, Contacts, Opportunities tabs) 2. Open up any Contact or Lead or Opportunity from the list 3. Then click  Settings  icon and choose  Edit Page , in order to open Lightning App Builder 4. From the left-hand side pane, grab Visualforce element and drag it onto the canvas placing it exactly to the area where you want the widgets to appear 5. Then on the right-hand side pane, in the  Visualforce Page Name  drop-down, choose what type of a widget you want it to be 6. Activate and Save the changes: Click Activation button in the right-hand side top corner, and either choose ""Assign as ORG Default"" if you want these changes to get applied to everyone in your organization, otherwise go to ""APP, RECORD, TYPE, AND PROFILES"" tab to choose who exactly will be affected by the changes has been done.     Watch video on how to add Sales Engagement widgets to your SFDC environment      Watch video on how to add Opportunity Analytics widgets to your SFDC environment      Watch video on how to add Email and CRM integration widgets and tabs to your SFDC environment        Book a free demo  "
Revenue Inbox Sidebar is a multi-functional area that serves as your direct window to Salesforce," The Sidebar as your direct window to Salesforce        This integration is implemented via Email Sidebar, which appears on the right-hand side of Revenue Grid window after you click the   icon. The sidebar is available on the  Action Center  and on the  prospect's profile  pages.   Sequence widget in the sidebar opened in Revenue GridThe Sequences widget  shows  sequences  a Contact/Lead is enrolled into. It also has some controls over prospect's progress within a Sequence. Right from the widget, you can do the following:  a) See if an action is required within a Sequence a prospect is currently engaged in.  Click here to see the full list of types of  Action required ;  b) Add a prospect to another Sequence;  c) Perform actions related to the currently ongoing Sequence via    icon: Reschedule a step, pause or resume a sequence for the prospect, or finish with standard options  Person Statuses .      Note  You can add Sequence widget right to your Salesforce environment.  Refer to this article to see how it works .    Email Sidebar opened in an email client  The multi-functional area on the top serves as your direct window to Salesforce. Refer to the articles about [Email Sidebar](https://smartcloudconnect.io/docs/fast-channel/articles/Introduction/) for details on what you can achieve through this sidebar. Sequences tab in the sidebar opened in an email client    One of the distinctive features of Email sidebar is ability to perform some functions related to your Revenue Grid sequences right within the sidebar itself. It's very convenient because you are able to access it when opened in you email client. For certain actions, there is no need to open Revenue Grid at all. First of all, if you are looking up a prospect which hasn't been imported to Revenue Grid yet, you will see a call to action to import to Revenue Grid. For those prospect who already have been imported to Revenue Grid, on this tab you can find: engagement stat, timestamp of the most recent touch base and  person status . This information is also available in the  prospect's profile  area in Revenue Grid.  You may opt out a prospect from all sequences or enroll to another sequence.  By hovering on ongoing sequence in the tab, you may finish a sequence for a prospect with standard options (Not Interested, Success, Opt-out etc.). Also, with the ""Run now"" button, you can force the next scheduled step within a sequence (if any).  "
learn how to allow specific users to configure signals in Revenue Grid<," How to Assign a Signals Manager[admin-level article]      Signals Managers are the users that are allowed to configure signals using Signals Builder in Revenue Grid. Admins are granted the right to create and configure signals by default, but if necessary, admins can also grant this right to other Revenue Grid users. To allow a specific user to configure signals:1. Open Revenue Grid as described in [this article](../Setup/)2. Click on your profile photo in the upper-right corner of the window3. Choose Settings4. In the left-hand-side navigation panel, go to Administration > Users5. In the Search box, enter the name of the necessary user6. Click on the necessary user's name to open their settings7. On the Details tab, enable the Allow signals configuration management switch button8. Click Save to apply the changes"
Learn how to use Revenue Signals to navigate you to the best sales game," Incredibly smart Revenue Signals to navigate you to the best sales game          One of the major features of Revenue Grid are these automatically or manually generated Signals. They are intelligently guiding collective efforts towards winning deals. The Signals notify you about critical occurrences, so accountable employees don't miss a thing and always stay on top of the game.    Signals types   There are 5 types of signals and counting. Every type of signal serve a corresponding type of records in your CRM and Revenue Grid ecosystem.     Signals with scoresSome signals may have a score to notify about any important event on the way to winning an Opportunity.Any signal with negative score means a bad impact on winning a deal, while any positive signal means a push forward towards winning a deal. Upon receiving, the signal score adds up to the overall score of an Opportunity. Score of a manually created signal is   +3 for a positive signal  -16 for a negative signalThe negative or positive score of automatically generated signals notifications is specified by an authorized employee on creating signals generation rule in  Signals Builder . Depending on its total score, an Opportunity is assigned a color that visualizes how it's going:   Green (0+ ) – the Opportunity is healthy and is going well Yellow (from -1 to -30) – the Opportunity needs attention Red (-31 and less) – the Opportunity is at risk of being lost  Signals Library   Explore the full list of signal  here .    Trigger a Salesforce Flow with Signals   Actionable Signals allow you to initiate a specific Salesforce Flow seamlessly.    Actionable Signals   Certain Signals allow to start composing and to send an email right from the Action Center. As well as you can create a follow-up signal. List of actions you can perform per signal is ever-growing.    How do you get notified When new signals are generated, selected employees may get notified via Slack, via MS Teams, via Revenue Grid widgets embedded in Salesforce, via browser notifications, or via Revenue Grid mobile app on iOS and Android devices.   Handling Signals   Here is what options you have when it comes to handling the signals.   Escalate  – puts the signals to the high importance category.  Resolved  – marks the signals as done.  Mute for this Oppty  – mutes specifically this signal type for the opportunity going forward.  Mute for all Oppties  – mutes specifically this signal type for ALL opportunities going forward.  Mute all signals for this Oppty  – mutes all signals associated with the opportunity for good.  Copy link to clipboard  – copies a direct link to the signal.  Open is Salesforce  – opens a dedicated page of the signal in SFDC.  Chat with signal owner  – opens up a direct chat with the owner of the signal owner.  Dismiss  – removes the signal from the tab.   Every Signal has one or more assigneesA signal can be assigned to more than one team member. There might be more than one signal of the same type, thought with different assignees each, under an opportunity. A Signal will not be generated for opportunities owners of which are not Revenue Grid users yet.  Monitor team member's activity with SignalsYou can set up a list of users, activities of whose you want to monitor. For example, you want to know with whom your team members have meetings tomorrow. You can have a daily signal which would compile a list of meetings your team members scheduled for any period of time. Such list of users can be created either by Salesforce hierarchy, or for cases when Salesforce hierarchy is not being maintained, by hand picking team members.  Can I see signals belonging to other users? Yes, managerial level users can filter the Signal tab to signals that belong to someone particular.   Filter Signals feed Narrow down list of signals via filtering.  Due date, Owner, Signal type  are among categories you can filter by.     Add a quick memo Signal manually and assignNot to be confused with  build your own signal . It can be a sales guiding advise or coaching recommendation. Set up due date to meet deadlines, and link the signal to a Salesforce object for coherence. You can also add a sentiment to your manual signal. When sentiment is negative, it will affect a related deal overall health.   Assign to a colleague and link to Salesforce object. Once assigned, the assignee will see your signal in their  Action Center .    Mark all Signals as read When you have many Signals you don't want to go through, which is not recommended but still up to you, you may mark them as read in bulk using this button in the upper right hand-side corner of the Signals tab in the Action Center.    Signals in the Email Sidebar Access the list of your unresolved Signals from the comfort of own email client for fast access.  The Signals tab of the Email Sidebar is available in the Smart Actions section on the bottom of the Sidebar. In order to add the Signals tab to your Smart Actions section, you have to turn it in the  Customization Panel .  Here you can act upon your Signals, add a new quick memo-type signal as described  here .     Related article:    How to use Revenue Signals in RG Email Sidebar     Manage signals in the Email Sidebar  When you open an email or event, you'll see the related signals (if there are any) right on the Signals tab on the main RG Email Sidebar page and will be able to  conveniently manage them .     Create a quick memo-type signal  right in the Add-In without leaving your email server using the  + (Add) icon  in the upper right-hand corner of the Sidebar.    Follow up on stale conversations with reminder signals  When you create  a follow-up reminder in the Sidebar , an automatic reminder signal will be automatically created to ensure that you timely bolster the conversation.   You will see the reminder signal on your signals list in Revenue Grid.   See flagged signals in the Sidebar  Flagged signals appear as notifications in the Add-In's interface on their due date. Unlike ordinary signals, flagged signals appear in the interface irrespective of the opened email/calendar item. When a flagged signal notification appears, you can     click View to open the Revenue Grid Signals feed in the web browser    click Open Object to open the related object in RG Email Sidebar  dismiss the signal, so it will not appear in the Sidebar anymore "
Transparent team performance on the palm of your hand with Revenue Grid," Transparent team performance on the palm of your hand         Find the most active Sales RepThe chart on the Revenue Grid Team page conveniently shows all your Sales representative's activities sorted from the most active employee to the least one. You can refer to it for the purpose of sales coaching.    Colors on the chart represent types of activity, which all get gathered automatically from email clients, calendars and Salesforce. No manual entries are required. Use the Period drop-down in the right-hand upper corner to select the time interval you want to review.     Export team performance   Use the  Export  button to download team performance in .csv format for further analysis or for uploading it to your HRIS system.  "
Evaluate the efficiency of your team's sequences and the prospects' engagement<," Sequences Productivity Report         The Sequences Productivity report shows all your Sales representative’s performance and prospects' engagement related to the sequences. You can refer to it for the purpose of sales coaching and analyzing the employees performance based on the number of recipients added to sequences, recipients contacted by mail or calling, and unique recipients' activities (replies).    Added to Sequence – Number of new recipients added to sequence during the selected period. Contacted – Number of recipients contacted by email or call at least once during the selected period. Contacted by email – Number of recipients contacted by email at least once during the selected period. Contacted by call – Number of recipients contacted by call at least once during the selected period. Replied – Number of recipients who replied to an email at least once during the selected period.  Monitor the overall team’s performance related to Sequences using the ""Total"" bar. It displays the total number of unique recipients by activities.   Filter the data you need Sales reps   To see the sequences-related activity of any team member(s), start typing their name in the filter field. If the filter field is empty, the Sequences report includes all team members.    Period    To see the sequences-related activity of your team or specific team member(s), select the necessary period from the drop-down list.      Sort by the most and least active employees The numbers in the columns can be sorted by descending or ascending values.    By clicking on each column's name, you can sort the list from the most active employee in a specific activity to the least one or vise versa.    Analyze the detailed statistics    Click on a number in the Sequence report to see the detailed list of prospects. "
Learn how to manage Revenue Grid (RG) message Templates used for facilitating and automating creation of email Sequence steps," How to manage email templates        Revenue Grid (RG) message Templates are used for facilitating and automating creation of email Sequence steps. A template is a typical message used at a single step of an engagement/nurturing campaign.Every RG user within an Org can contribute templates to a shared template pool, so others will be able to make use of them in their own [Sequences](../Sequences/).   Find the most successful templates   In order to identify which templates have been the most successful across all sequences, sort the tab by Click, Success, or Reply rates.     Create a TemplateIn order to create or edit a template: 1. Open the Templates page 2. Click  Add template  3. Fill in the template's fields:  -  Name : enter a unique name used to refer to the template -  Sharing : set use permissions   • Private : visible only to you • Shared  [the default selection]: all users can view(read-only) it and clone this template   Note  Admins always can view, select, edit and clone all templates regardless of settings per Template mentioned above    -  Subject : set the email template's Subject line. You may also insert Salesforce and Revenue Grid  merge fields  into it to make it match a specific prospect - Template body: design your email template's text using the standard text editing bar - Use Revenue Grid  merge fields . It allows personalize a message across companies with the same template.  - Add an attachment to your template using    button on the bar.  Supported types:  pdf, doc, docx, xls, xlsx, ppt, pptx, csv, txt, rtf, ods, odt, html, zip, 7z, rar,  mp3, mp4, wma, mpg, flv, avi, jpg, jpeg, png, gif, epub, fb2 - Paste an inline image from clipboard or add by using    button on the bar. You may include an image from your local computer or from the Web by pasting in a link.    4. Click  Save template    Template statistics   Every template has its own statistics to identify how engaging it has been over time.    Edit a TemplateThere are 2 ways to update a template: On the Templates tab, open a template you'd like to edit. Apply changes in the opened text editor and save the template.    1. Or another way. When  adding a step  based on a template, you will have an option to update the used template along with adding the step.   Important  2. Once a  template  gets updated, all steps of  Sequences  which had been built based on the template start using the most recently updated version of the template. Including those emails which are  waiting for a review in the Action Center .     More hints on Templates In order to make your email look perfect in inboxes of your recipients, make sure you add a special first line to be displayed in Outlook folder preview: Follow the steps to achieve that:  1)Switch the editor to  Source 2)Add the code line onto the first line of your template:   Replace the text with yours. The text is hidden in the email body and displayed only as preview in an Inbox folder item.  Also avoid centered signatures or other elements: There are two elements responsible for alignment in HTML:   (a) tag's property align=""center"";  (b) style=""text-align:center;"".  Please avoid using both when they have different values in the same Template – in this case a browser takes one, while Desktop Outlook takes another one. Use only one of those, or both have to have equal values.  Utilize templates right in an email client via Revenue Grid Email Sidebar Smart Actions  Favorite Templates   Mark your favorite templates as favorite for quick access when creating  a step for your Sequences .    Clone, view, archive, delete a Templates   Access more actions you can perform with a template through the menu button on the right-hand side of each template.  Who is using a template. Usage information.   This tab shows which sequences has been based on the template, including owners of the sequences for the reference.   "
Learn how to manage Revenue Grid (RG) message Templates used for facilitating and automating creation of email Sequence steps,"---search:  exclude: true---   Revenue Signals  • Updated interface of the Signals tab on web and mobile.  Read more . • Find all Signals of a single Sales Rep on the added tab.  Read more . • A new Signal which alerts to a lead that has been qualified, but hasn't been converted to an opportunity.  Read more . • A new Signal which alerts to an opportunity which has been in the ""Prospecting"" state without a single follow-up activity/task.  Read more . • A new Signal which alerts to an opportunity which has had ""Estimated Award"" changed few times without even contacting the client.  Read more .    Team Coaching • Review Sales rep performance for a specific period of time.  Read more .    Deal Guidance  • Identify the most engaged opportunities by number of meetings, inbound, and by outbound emails.  Read more .  • Advanced Pipeline filtering capabilities.  Read more .    Automated Sequences  • Identify how engaging your templates are by Click, Success, and Reply rates.  Read more . • Add recipients from Salesforce reports.  Read more . • Personalize the next scheduled step for a specific recipient.   Read more .  • Easy filter to a type of event on the individual prospects History Feed.  Read more . • A new awesome merge field, which extra personalizes your outreach.  Read more .                 Revenue Inbox product overview  from  RevenueGrid.com  on  Vimeo .   body{    background-image: url('https://wallpapercave.com/wp/wp2763763.gif');    background-size: cover;                height: 100vh;    padding:0;    margin:0;}       🕮 Read more📝-------------💡 Switch the text editor between the modesPreview - to examine how your message will appear to recipients; Edit - to modify your message using rich text capabilities; Source - to paste HTML source code;-------------"
Collection of Revenue Grid sample sequences," About the Sample Sequences       Where to find and how to start using the pre-made sequences?   Go to the Sequences tab through the main left-hand side navigation panel. On the Sequences tab, among other subtabs, you can see  ENDORSED  and  SAMPLES  subtabs.   SAMPLE SequencesFind the sequence that suits your scenarios the most  • 101 training    • Cyclical loop starts with a call    • Cyclical loop starts with a manual email    • Mix of steps    • Fully automated email drip campaign      • Recruitment scenario    • Renewal sequence    • PR scenarios      • Event follow up       In order to start using a sample sequence, you should first clone it. After cloned, you will find it on the  ALL  subtab.   What is ENDORSED Sequences?   Endorsed Sequences are those that have been created within your company by you or your colleagues and marked by a special tag ""Endorsed"".The purpose of such tag is to sort out Sequences that are very important, proofed to be effective and encouraged to use by your Sales leadership.Such tag is addable by Revenue Grid users with Admin rights only. Admin users can add such tag  while creating a sequence , or to  already existing sequence .      In order to start using an endorsed sequence, you should first clone it. After cloned, you will find it on the  ALL  subtab.  "
Learn how to handle tasks on the To Do tab to ensure uninterrupted sales engagement," To-dos tab of the Action Center        Types of To-do items: Review and Submit an emailThis happens when you select ""Review email before sending"" while creating your email type of a Step. Your option are ""Send as planned"", ""Send now"" or ""Reschedule"".      Colleague's Reply   This happens when you have more than one representative of a same company in a sequence (identified by domain name of recipients email), and one of them replies. There is a control called ""Create task on reply from same company""  Setting of a Sequence  to detect such occurrences. Here on the To-dos tab you can choose how you want to process replies from colleagues. You may Finish a Sequence for the contact with standard options: ""Not Interested"", ""Success"" or ""Opt out"". Alternatively you may Dismiss the fact that a colleague replied and then a Sequence will continue as planned. When there are more than one colleague in other sequences, Select the ""Apply to all colleagues from the same company"" checkbox. It will prevent all communication with the company while you are proceeding with the prospect who replied.   Make a Call When recipients reach a phone call type of a step, it appears here in To-dos for you to make the call. The cell phone number of the recipient will be pulled from Salesforce. In case the field is blank, you can type in the number. Manually typed in numbers won't be saved to Salesforce. As a prerequisite, your Revenue Grid has to be  set up with one of the providers .     By clicking  Log , you'll be prompted to confirm the outcome of it in the popped up dialog box and choose how to proceed from here. Use  Comment  text editor to log a conversation if needed.     If  Move to another step  is chosen, select which step to place the Call item to from the dropdown. You can't place the item to the past step.     Logging calls in Salesforce   Once logged, the call will appear in Salesforce on the prospect's record after the next Revenue Grid Synchronization session. Subject of the call will be ""Successful call"", ""Voice mail"" or ""No Reply"" depending on what you choose as Result of the call above.       Refer to the color of the icon of the item, to get an idea right away if it is good time to call now. When it's green, it means it's a working day and working hour on the prospect's side.      Alternatively, you may reschedule a step for the recipient by Pencil icon.   Send SMSWhen a recipient reaches SMS type of a step, which is marked as ""Review and personalize this step"", it appears here in To-dos for you to log SMS or to reschedule a step using Pencil icon.   Additional actions:     Remove from sequence  - unlist the recipient from the sequence at once    Skip  - Skips current step and instead, executes the following step on current step's schedule    Mute  - Mutes this step and proceeds to the following step without changes in the following steps' schedule    Finish   options - mark the recipient with a corresponding Person Status and take the recipient to the finish of the sequence    When logged here, it also gets saved in SFDC automatically   Once logged, the SMS will appear in Salesforce on the prospect's record after the next Revenue Grid Synchronization session.      Log a Misc. type of a stepWhen a recipient reaches to a Misc. type of a step within a Sequence, you get a new To-do item to execute and log the action.    An action logged here, gets saved in SFDC as well  Once a Misc. type of a step gets processed in the Action Center, the action gets logged to SFDC as a completed task.     Merge Field issue   This happens when you merge a field which is not populated in Salesforce, so Revenue Grid cannot auto-insert it into your email. Edit your message by removing the merge field or populate that field in Salesforce manually. Until you resolve the issue, a sequence for this prospect will be on hold.   Owner Change     When a recipient's owner changes in Salesforce, such item appears on the previous owner's To-do tab. A sequence will be paused for the recipient, until the previous owner decides how to proceed. The previous owner may Finish a Sequence for the contact with standard options: ""Not Interested"", ""Success"" or ""Opt out""; or else, click Continue sequence button to proceed with the Sequence as planned.    Lead conversion   When a recipients is a Lead in Salesforce, and he/she has been converted to a Contact in Salesforce, all sequences the recipient is engaged into will get paused for him/her and you will receive a new To-do item where you have to choose how to proceed: Finish the sequence with standard options (Success, Not interested, Opt-out), or Dismiss the item so the engagement will go on per sequence's order.   Error sending   One of the reasons you may see this is blank value in the Email field for the recipient. Double check in CRM, and if it persists, then contact us at support@revenuegrid.com.  "
Learn how to setup Twilio SMS and voice calls for your Revenue Grid," How to setup Twilio SMS and voice calls for your Revenue Grid         Follow these steps in order to set up Twilio as your provider of SMS and Voice calls from Revenue Grid or Salesforce interface. 1. Create and log in to your Twilio account.   Go to  https://www.twilio.com/  and create a free account, you won't need to pay until you are ready to top up your balance. On the home page of the Twilio profile, you should see  Account SID  and  Auth Token . You are going to need it on Step 7 coming shortly below.  2. Create TwilML App.   Then proceed to TwilML Apps tab, and click  Create new TwilML App   3. Continue creating TwilML App.    Voice Request URL  field has to be populated with this URL. Replace [Your Tenant Name] in the URL with the name of your tenant, otherwise the setup won't go further.    Voice Request URL  https://[Your Tenant Name]-drip.revenuegrid.com/api/v1.0/communication/twilio/voiceCallback Example of the URL for Stark Media:  https://starkmedia-drip.revenuegrid.com/api/v1.0/communication/twilio/voiceCallback      4. Complete creating TwilML App.   Click  Save  and you should see  SID  of your TwilML App on the screen. You are going to need this value on Step 7 below. If the value doesn't appear on the screen, that means Twilio hasn't accepted the URL. Contact us for further review.  5. Add new numbers to your Twilio account to use it from Revenue Grid.   You can purchase numbers which Sales team can set up for their individual Revenue Grid profiles. Keep in mind that if you purchase a number for SMS sending, you'll be able to use such number for Voice calling out of Revenue Grid as well.   6. Add Sales team members' existing mobile phone numbers (if they want to) for calling out of Revenue Grid.    Go to  Phone numbers → Manage → Verified Caller IDs .      Click  Add a new Caller ID , to enter the number and verify. After the setup is done. Every individual Revenue Grid user will be able to pick his/her number and use it from Revenue Grid, see below.  7. Proceed to the Revenue Grid side for the final steps of the setup.   Go to Revenue Grid Admin Settings → SMS & Calls. On this subtab, you have to populate  Account SID  and  Token  fields with the values taken from Step 1 mentioned above. Also, populate the  Voice application SID  field with the value from Step 4 mentioned above. Click  Save .  8. Assign numbers to individual users in Revenue Grid. You are almost done. Now, users have to go to their Revenue Grid personal settings, and pick available numbers from the corresponding drop-down, whether it's meant to be for SMS or Voice calls. Every number is being used only by one user. If a Revenue Grid user provided his/her own phone number for the verification on Step 6, then this is where the user can pick his/her own number and start outreach. Admins can set this personal level setting for  every Revenue Grid user  as well.  And that's it, folks. Now Revenue Grid will use the corresponding number when users  send SMS messages  and  conduct Voice calls  from the Action Center, or from the  Dial out  widget in your Salesforce interface . "
